"","no","ANOVAfull","anova","oldWT-oldHet","young-oldHet","young-oldWT"
"PE(22:6_22:6)",0,0.3053,0.8556,1,1,1
"PE(24:1_18:2)",0,0.109,0.1337,0.9385,0.7046,0.2371
"PE(40:7e)",0,0.027,0.0854,1,0.1475,0.3647
"PG(16:0_18:1)",0,0.7005,0.18,0.5364,0.3138,1
"PG(16:0_18:2)",0,0.6054,0.2733,0.5904,0.7786,0.78
"PG(16:0_20:2)",0,0.4217,0.1787,0.7057,1,0.3017
"PG(16:0_20:3)",0,0.5414,0.647,0.9699,1,0.9687
"PG(18:0_18:1)",0,0.0517,0.1577,1,0.2553,0.5048
"PG(18:0_18:2)",0,0.0991,0.4191,1,0.6011,0.8427
"PG(18:1_22:6)",0,0.9976,0.4111,0.7357,0.837,0.896
"PG(18:2_18:2)",0,0.8777,0.2733,1,0.4025,0.739
"PG(18:2_22:6)",0,0.2985,0.0216,0.2535,0.0273,1
"PG(18:3_18:2)",0,0.6209,0.1793,0.5575,0.2867,1
"PG(18:3_22:6)",0,0.8054,0.0399,0.565,0.0536,0.6484
"PG(20:0_22:5)",0,0.582,0.1232,1,0.1989,0.4705
"PG(20:0_22:6)",0,0.4153,0.1892,0.8475,0.237,0.9386
"PG(20:2_22:6)",0,0.7577,0.6814,1,0.9842,0.8986
"PG(20:3_22:6)",0,0.7768,0.4149,1,0.9226,0.62
"PG(22:5_22:5)",0,0.6139,0.458,0.8898,1,0.6873
"PG(22:5_22:6) (1)",0,0.2219,0.5029,0.8193,0.9346,0.9201
"PG(22:5_22:6) (2)",0,0.8023,0.4232,0.8304,1,0.6569
"PG(22:6_22:6)",0,0.3053,0.3421,0.6715,0.7785,0.8754
"PG(30:0e)",0,0.57,0.0891,0.8304,0.1152,0.6907
"PG(30:1)",0,0.3871,0.4902,1,0.6338,1
"PG(32:0)",0,0.0228,0.1584,1,0.2617,0.4956
"PG(32:0e)",0,0.36,0.0418,0.3046,0.0639,1
"PG(32:1)",0,0.0252,0.1095,0.6709,0.1325,0.9603
"PG(32:1e)",0,0.0021,0.0444,1,0.1092,0.1813
"PG(32:2e)",0,0.3202,0.106,0.5546,0.1376,1
"PG(34:1)",0,0.0113,0.9422,1,1,1
"PG(37:2)",0,0.1387,0.0133,0.3046,0.0126,0.3632
"PI(15:0_22:5)",0,0.5554,0.3725,0.7057,0.7549,0.9201
"PI(16:0_18:2)",0,0.7347,0.0461,0.3188,1,0.1354
"PI(16:0_20:4)",0,0.2522,0.0775,0.4632,1,0.1837
"PI(16:0_20:5)",0,0.4153,0.5275,0.8911,1,0.8112
"PI(16:0_22:6)",0,0.6536,0.0348,0.764,0.2769,0.1171
"PI(17:0_20:4)",0,0.104,0.0274,0.2535,0.9842,0.1171
"PI(17:0_22:6)",0,0.3461,0.0192,0.3951,0.2322,0.1171
"PI(18:0_18:2)",0,0.4217,0.1187,0.6715,1,0.2116
"PI(18:0_20:4)",0,0.3355,0.0976,0.3206,0.8036,0.3259
"PI(18:0_20:5)",0,0.3314,0.1879,0.4796,0.8186,0.5559
"PI(18:0_22:5)",0,0.5207,0.2733,0.7442,1,0.4343
"PI(18:0_22:6)",0,0.6826,0.1693,0.6718,1,0.2904
"PI(18:1_20:4)",0,0.0301,0.0488,0.4669,0.8906,0.1354
"PI(18:1_22:6)",0,0.635,0.0565,0.6425,0.6793,0.145
"PI(18:2_20:4)",0,0.2585,0.6239,1,1,0.8156
"PI(18:2_22:6)",0,0.5281,0.2059,0.9987,0.83,0.3495
"PI(18:3_20:4)",0,0.3196,0.6083,1,0.8643,0.892
"PI(18:3_20:5)",0,0.764,0.4692,1,0.8582,0.7076
"PI(18:3_22:6)",0,0.2853,0.0998,0.9448,0.5723,0.207
"PI(19:0_20:4)",0,0.3079,0.1164,0.3563,0.9041,0.3259
"PI(19:0_20:5)",0,0.377,0.1401,0.3951,0.8582,0.3898
"PI(20:0_20:4)",0,0.582,0.0969,0.3188,0.6763,0.3701
"PI(20:1_20:4)",0,0.3688,0.1512,0.412,0.7941,0.4683
